CMDLINE ./a.out /MMCI/TM/scratch/ghaffari/experiments/grem/hgvg-filtered/vg/1000genomes-sv-filtered-af_ge_1/wg.vg
MEM 4526.343750 1594659055.6390
MEM 4530.468750 1594659055.7397
MEM 4532.273438 1594659055.8403
MEM 4541.812500 1594659055.9410
MEM 4552.382812 1594659056.0416
MEM 4560.117188 1594659056.1423
MEM 4560.117188 1594659056.2429
MEM 4561.664062 1594659056.3436
MEM 4576.359375 1594659056.4442
MEM 4577.648438 1594659056.5449
MEM 4579.968750 1594659056.6455
MEM 4584.093750 1594659056.7462
MEM 4588.218750 1594659056.8468
MEM 4590.539062 1594659056.9475
MEM 4597.757812 1594659057.0481
MEM 4608.328125 1594659057.1488
MEM 4616.578125 1594659057.2494
MEM 4616.578125 1594659057.3501
MEM 4619.929688 1594659057.4507
MEM 4634.109375 1594659057.5514
MEM 4634.109375 1594659057.6520
MEM 4634.109375 1594659057.7527
MEM 4636.945312 1594659057.8534
MEM 4641.070312 1594659057.9541
MEM 4643.390625 1594659058.0547
MEM 4645.195312 1594659058.1553
MEM 4646.972656 1594659058.2560
MEM 4649.785156 1594659058.3567
MEM 4650.042969 1594659058.4573
MEM 4654.433594 1594659058.5580
MEM 4654.433594 1594659058.6586
MEM 4663.714844 1594659058.7592
MEM 4665.945312 1594659058.8601
MEM 4674.195312 1594659058.9607
MEM 4675.226562 1594659059.0653
MEM 4678.578125 1594659059.1659
MEM 4688.117188 1594659059.2667
MEM 4698.687500 1594659059.3673
MEM 4705.390625 1594659059.4680
MEM 4705.445312 1594659059.5686
MEM 4721.339844 1594659059.6693
MEM 4737.066406 1594659059.7700
MEM 4741.191406 1594659059.8707
MEM 4745.058594 1594659059.9713
MEM 4749.183594 1594659060.0719
MEM 4753.308594 1594659060.1726
MEM 4758.464844 1594659060.2732
MEM 4768.777344 1594659060.3738
MEM 4780.121094 1594659060.4745
MEM 4781.410156 1594659060.5751
MEM 4781.410156 1594659060.6758
MEM 4794.558594 1594659060.7764
MEM 4798.941406 1594659060.8771
MEM 4798.941406 1594659060.9777
MEM 4800.230469 1594659061.0784
MEM 4804.355469 1594659061.1790
MEM 4807.707031 1594659061.2797
MEM 4812.347656 1594659061.3803
MEM 4824.464844 1594659061.4810
MEM 4835.550781 1594659061.5816
MEM 4837.613281 1594659061.6822
MEM 4837.613281 1594659061.7830
MEM 4848.957031 1594659061.8837
MEM 4855.144531 1594659061.9843
MEM 4859.011719 1594659062.0849
MEM 4863.136719 1594659062.1855
MEM 4867.261719 1594659062.2862
MEM 4871.128906 1594659062.3868
MEM 4878.089844 1594659062.4875
MEM 4888.402344 1594659062.5881
MEM 4899.488281 1594659062.6888
MEM 4902.324219 1594659062.7894
MEM 4902.324219 1594659062.8900
MEM 4912.636719 1594659062.9907
MEM 4919.855469 1594659063.0913
MEM 4919.855469 1594659063.1919
MEM 4919.855469 1594659063.2926
MEM 4920.371094 1594659063.3932
MEM 4924.496094 1594659063.4939
MEM 4926.816406 1594659063.5945
MEM 4937.386719 1594659063.6951
MEM 4948.214844 1594659063.7958
MEM 4953.113281 1594659063.8965
MEM 4953.113281 1594659063.9971
MEM 4960.332031 1594659064.0977
MEM 4970.644531 1594659064.1984
MEM 4970.644531 1594659064.2990
MEM 4974.253906 1594659064.3997
MEM 4978.378906 1594659064.5003
MEM 4982.503906 1594659064.6010
MEM 4984.566406 1594659064.7016
MEM 4993.589844 1594659064.8023
MEM 5004.160156 1594659064.9031
MEM 5012.410156 1594659065.0037
MEM 5012.410156 1594659065.1044
MEM 5015.246094 1594659065.2050
MEM 5028.652344 1594659065.3056
MEM 5123.269531 1594659065.4063
MEM 5255.785156 1594659065.5070
MEM 5420.960938 1594659065.6076
MEM 5598.570312 1594659065.7082
MEM 5791.566406 1594659065.8088
MEM 5965.957031 1594659065.9095
MEM 6166.015625 1594659066.0100
MEM 6341.328125 1594659066.1107
MEM 5686.132812 1594659066.2113
MEM 5686.132812 1594659066.3119
MEM 5689.738281 1594659066.4126
MEM 5693.605469 1594659066.5132
MEM 5697.214844 1594659066.6139
MEM 5708.757812 1594659066.7145
MEM 5719.257812 1594659066.8152
MEM 5731.257812 1594659066.9158
MEM 5734.757812 1594659067.0165
MEM 5734.757812 1594659067.1171
MEM 5744.558594 1594659067.2177
MEM 5754.558594 1594659067.3184
MEM 5754.558594 1594659067.4190
MEM 5754.558594 1594659067.5196
MEM 5754.558594 1594659067.6203
MEM 5754.558594 1594659067.7209
MEM 5756.589844 1594659067.8216
MEM 5761.363281 1594659067.9222
MEM 5771.363281 1594659068.0228
MEM 5783.363281 1594659068.1236
MEM 5784.601562 1594659068.2242
MEM 5784.601562 1594659068.3248
MEM 5794.601562 1594659068.4255
MEM 5800.832031 1594659068.5261
MEM 5801.859375 1594659068.6268
MEM 5805.726562 1594659068.7274
MEM 5809.335938 1594659068.8280
MEM 5813.203125 1594659068.9287
MEM 5816.750000 1594659069.0293
MEM 5825.261719 1594659069.1300
MEM 5837.261719 1594659069.2307
MEM 5841.472656 1594659069.3313
MEM 5841.472656 1594659069.4320
MEM 5849.472656 1594659069.5326
MEM 5859.472656 1594659069.6333
